[0.00150752 0.00931947 0.98917294], WALKING
[4.9505092e-04 2.4090058e-03 9.9709594e-01], WALKING
[6.2736566e-04 4.4814853e-05 9.9932790e-01], WALKING
[6.3242684e-03 1.8183431e-05 9.9365753e-01], WALKING
[1.7012762e-03 1.1337152e-04 9.9818534e-01], WALKING
[2.8191652e-04 1.4410955e-05 9.9970359e-01], WALKING
[5.3723197e-04 5.8775011e-05 9.9940395e-01], WALKING
[5.3130725e-04 7.1569666e-04 9.9875295e-01], WALKING
[1.4285148e-03 3.6678617e-04 9.9820471e-01], WALKING
[4.7689062e-04 2.0809443e-05 9.9950230e-01], WALKING
[1.6904107e-04 9.6181357e-06 9.9982136e-01], WALKING
[1.3628598e-04 2.4003015e-05 9.9983966e-01], WALKING
[1.6023792e-04 1.1614549e-05 9.9982810e-01], WALKING
[1.3662623e-04 6.9192170e-06 9.9985647e-01], WALKING
[1.7645638e-04 5.2198924e-05 9.9977130e-01], WALKING
[2.6495059e-03 7.8073901e-04 9.9656975e-01], WALKING
[1.0782277e-04 5.6625329e-05 9.9983549e-01], WALKING
[3.7798134e-04 3.3508186e-04 9.9928695e-01], WALKING
[0.01535598 0.06659117 0.91805285], WALKING
[0.02287795 0.42175752 0.55536443], WALKING
[0.01117025 0.2129665  0.7758633 ], WALKING
[0.00127602 0.04114291 0.95758104], WALKING
[0.00354837 0.02808707 0.96836454], WALKING
